id_produit,nom,categorie,prix_actuel,cout,elasticite,prix_optimal
1,Samsung Galaxy Tab A9 128 Go,Smartphones & tablettes,373500,285500,-2.619,461843.0
2,Apple iPhone 13,Smartphones & tablettes,440000,325700,-2.619,526874.0
3,Oppo A98 128 Go,Smartphones & tablettes,137000,90700,-2.619,146722.0
4,Tecno Spark 10 256 Go,Smartphones & tablettes,633500,478700,-2.619,774376.0
5,Infinix Note 30 64 Go,Smartphones & tablettes,212500,146300,-2.619,236664.0
6,Samsung Galaxy Tab A9 256 Go,Smartphones & tablettes,250000,184800,-2.619,298945.0
7,Apple iPhone 14,Smartphones & tablettes,777500,601200,-2.619,972540.0
8,Oppo A98,Smartphones & tablettes,316500,177500,-2.619,287136.0
9,Infinix Hot 40 128 Go,Smartphones & tablettes,559000,411500,-2.619,665669.0
10,Itel P55 64 Go,Smartphones & tablettes,728000,485800,-2.619,785862.0
11,Oppo Reno 8 64 Go,Smartphones & tablettes,138500,92600,-2.619,149796.0
12,Xiaomi Poco X5 128 Go,Smartphones & tablettes,754500,572000,-2.619,925305.0
13,Apple iPad 10,Smartphones & tablettes,277000,209900,-2.619,339548.0
14,Oppo A98 64 Go,Smartphones & tablettes,722500,520600,-2.619,842157.0
15,Apple iPhone 13 256 Go,Smartphones & tablettes,191500,105600,-2.619,170825.0
16,Oppo A98 128 Go,Smartphones & tablettes,398000,296500,-2.619,479638.0
17,Infinix Note 30 128 Go,Smartphones & tablettes,472000,276000,-2.619,446476.0
18,Samsung Galaxy A54 128 Go,Smartphones & tablettes,537000,371200,-2.619,600477.0
19,Samsung Galaxy Tab A9 128 Go,Smartphones & tablettes,522000,359300,-2.619,581227.0
20,Infinix Zero 30 64 Go,Smartphones & tablettes,498000,328200,-2.619,530918.0
21,Itel A70 64 Go,Smartphones & tablettes,350000,267100,-2.619,432078.0
22,Xiaomi Mi Pad 6,Smartphones & tablettes,690000,430100,-2.619,695758.0
