ds,yhat,yhat_lower,yhat_upper,y,categorie,type
2025-07-01,61.1,-30.6,158.4,58.0,Accessoires,historique
2025-07-02,67.7,-18.0,166.2,43.0,Accessoires,historique
2025-07-03,60.5,-29.0,153.6,52.0,Accessoires,historique
2025-07-04,64.1,-26.6,155.7,64.0,Accessoires,historique
2025-07-05,71.7,-22.2,162.7,56.0,Accessoires,historique
2025-07-06,74.6,-21.5,171.1,64.0,Accessoires,historique
2025-07-07,78.7,-12.6,170.0,76.0,Accessoires,historique
2025-07-08,63.0,-31.3,161.7,78.0,Accessoires,historique
2025-07-09,69.6,-20.3,160.4,57.0,Accessoires,historique
2025-07-10,62.4,-27.3,147.3,61.0,Accessoires,historique
2025-07-11,66.0,-25.0,157.8,73.0,Accessoires,historique
2025-07-12,73.6,-16.5,167.1,61.0,Accessoires,historique
2025-07-13,76.5,-17.2,168.3,58.0,Accessoires,historique
2025-07-14,80.5,-23.0,169.0,73.0,Accessoires,historique
2025-07-15,64.9,-30.1,154.4,69.0,Accessoires,historique
2025-07-16,71.5,-29.8,161.4,68.0,Accessoires,historique
2025-07-17,64.3,-35.5,154.7,69.0,Accessoires,historique
2025-07-18,67.9,-24.4,163.1,64.0,Accessoires,historique
2025-07-19,75.5,-17.2,167.8,65.0,Accessoires,historique
2025-07-20,78.4,-13.6,173.5,72.0,Accessoires,historique
2025-07-21,82.4,-18.6,171.9,73.0,Accessoires,historique
2025-07-22,66.8,-26.7,159.7,58.0,Accessoires,historique
2025-07-23,73.4,-16.7,167.3,74.0,Accessoires,historique
2025-07-24,66.2,-36.0,154.9,72.0,Accessoires,historique
2025-07-25,69.8,-29.1,161.9,55.0,Accessoires,historique
2025-07-26,77.4,-23.8,171.9,64.0,Accessoires,historique
2025-07-27,80.3,-9.2,184.7,63.0,Accessoires,historique
2025-07-28,84.3,-6.4,177.4,74.0,Accessoires,historique
2025-07-29,68.7,-26.0,159.9,60.0,Accessoires,historique
2025-07-30,75.3,-22.0,166.7,66.0,Accessoires,historique
2025-07-31,68.1,-21.2,159.8,51.0,Accessoires,historique
2025-08-01,71.7,-29.4,164.8,54.0,Accessoires,historique
2025-08-02,79.3,-21.0,172.8,64.0,Accessoires,historique
2025-08-03,82.2,-11.2,173.3,57.0,Accessoires,historique
2025-08-04,86.2,-8.8,176.9,68.0,Accessoires,historique
2025-08-05,70.6,-23.1,169.0,64.0,Accessoires,historique
2025-08-06,77.2,-12.5,171.0,74.0,Accessoires,historique
2025-08-07,69.9,-20.7,169.1,64.0,Accessoires,historique
2025-08-08,73.6,-23.2,164.1,74.0,Accessoires,historique
2025-08-09,81.2,-11.4,170.2,63.0,Accessoires,historique
2025-08-10,84.1,-10.5,169.7,65.0,Accessoires,historique
2025-08-11,88.1,0.1,183.8,58.0,Accessoires,historique
2025-08-12,72.5,-22.9,162.4,56.0,Accessoires,historique
2025-08-13,79.0,-16.3,178.1,65.0,Accessoires,historique
2025-08-14,71.8,-20.5,164.5,57.0,Accessoires,historique
2025-08-15,75.5,-18.5,165.4,96.0,Accessoires,historique
2025-08-16,83.0,-12.9,178.9,55.0,Accessoires,historique
2025-08-17,86.0,-5.5,182.7,66.0,Accessoires,historique
